,InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Revenue,CustomerID,Country,invoiceDate_norm,Year,YearMonth,Month,MonthDate,DayofMonth,Hour,DayofWeek,Month_name,Day_name
386360,C536379,2010-12-01 09:41:00,D,discount,-1,27.5,-27.5,14527,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
386361,C536383,2010-12-01 09:49:00,35004C,3 coloured flying ducks set,-1,4.65,-4.65,15311,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,9,2,December,Wednesday
386362,C536391,2010-12-01 10:24:00,21484,hot grey bottle water chick,-12,3.45,-41.4,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386363,C536391,2010-12-01 10:24:00,21980,12 red pack retrospot tissues,-24,0.29,-6.96,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386364,C536391,2010-12-01 10:24:00,21983,12 paisley pack blue tissues,-24,0.29,-6.96,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386365,C536391,2010-12-01 10:24:00,21984,12 pink paisley pack tissues,-24,0.29,-6.96,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386366,C536391,2010-12-01 10:24:00,22553,skulls tin plasters,-24,1.65,-39.6,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386367,C536391,2010-12-01 10:24:00,22556,tin plasters parade circus,-12,1.65,-19.8,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386368,C536391,2010-12-01 10:24:00,22557,paisley tin plasters vintage,-12,1.65,-19.8,17548,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,10,2,December,Wednesday
386369,C536506,2010-12-01 12:38:00,22960,jam set jars making,-6,4.25,-25.5,17897,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,12,2,December,Wednesday
386370,C536543,2010-12-01 14:30:00,22355,charlotte suki bag design,-2,0.85,-1.7,17841,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386371,C536543,2010-12-01 14:30:00,22632,red warmer retrospot hand dot polka,-1,2.1,-2.1,17841,United Kingdom,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386372,C536548,2010-12-01 14:33:00,20914,red glass set 5 lid spotty retrospot bowls,-1,2.95,-2.95,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386373,C536548,2010-12-01 14:33:00,20957,bell hanging porcelain small,-1,1.45,-1.45,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386374,C536548,2010-12-01 14:33:00,21218,red biscuit tin spotty,-3,3.75,-11.25,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386375,C536548,2010-12-01 14:33:00,22077,charm ribbons 6 rustic,-6,1.65,-9.9,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386376,C536548,2010-12-01 14:33:00,22168,wood white antique organiser,-2,8.5,-17.0,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386377,C536548,2010-12-01 14:33:00,22242,5 hanger toadstool hook magic,-5,1.65,-8.25,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386378,C536548,2010-12-01 14:33:00,22244,3 hanger garden hook magic,-4,1.95,-7.8,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386379,C536548,2010-12-01 14:33:00,22245,1 hook garden hanger magic,-2,0.85,-1.7,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386380,C536548,2010-12-01 14:33:00,22333,bag sticker retrospot party set,-1,1.65,-1.65,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386381,C536548,2010-12-01 14:33:00,22580,sack gingham calendar advent,-4,5.95,-23.8,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386382,C536548,2010-12-01 14:33:00,22631,box lunch parade circus,-1,1.95,-1.95,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386383,C536548,2010-12-01 14:33:00,22654,kit deluxe sewing,-1,5.95,-5.95,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386384,C536548,2010-12-01 14:33:00,22767,photo frame triple cornice,-2,9.95,-19.9,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386385,C536548,2010-12-01 14:33:00,22892,toadstools salt set pepper,-7,1.25,-8.75,12472,Germany,2010-12-01,2010,2010-12,12,12-01,1,14,2,December,Wednesday
386386,C536606,2010-12-02 09:10:00,20914,red glass set 5 lid spotty retrospot bowls,-2,2.95,-5.9,14092,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,9,3,December,Thursday
386387,C536622,2010-12-02 10:37:00,22752,nesting boxes babushka 7 set,-2,8.5,-17.0,12471,Germany,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
386388,C536625,2010-12-02 10:46:00,22839,tin 3 cake green cream tier,-2,14.95,-29.9,14766,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,10,3,December,Thursday
386389,C536642,2010-12-02 11:56:00,21463,disco ball mirrored,-1,5.95,-5.95,14390,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,11,3,December,Thursday
386390,C536734,2010-12-02 12:50:00,22780,light garland butterfiles pink,-4,4.25,-17.0,16042,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
386391,C536734,2010-12-02 12:50:00,85048,glass 20 christmas lights 15 cm ball,-1,7.95,-7.95,16042,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,12,3,December,Thursday
386392,C536737,2010-12-02 13:05:00,22798,dressing glass pot table antique,-2,2.95,-5.9,15922,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,13,3,December,Thursday
386393,C536757,2010-12-02 14:23:00,84347,tlight rotating silver angels hldr,-9360,0.03,-280.8,15838,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
386394,C536758,2010-12-02 14:25:00,21314,trinket glass small heart pot,-1,2.1,-2.1,13767,United Kingdom,2010-12-02,2010,2010-12,12,12-02,2,14,3,December,Thursday
